===== Leave-One-Model-Out Evaluation Summary =====
     left_out_model    train_mae  train_mape     test_mae  test_mape
0           alexnet  1493.601625   73.607928   161.633595  47.051118
1         resnet110   257.027076   13.695841    26.574803   8.299296
2          resnet44   321.088206   14.403164    23.187405  14.302976
3          resnet56   164.860068    9.703507    15.410615  18.866408
4    densenet40_k12  1430.995505   69.548997    18.245942  19.021371
5         googlenet   161.545249    9.145693   596.820960  37.852039
6   densenet100_k12   532.700824   22.819425    42.397642  10.102416
7             vgg16    61.701145    7.960733  2034.321234  26.861160
8          resnet50   167.926957   11.907922  1011.507772  22.876426
9        inception3   151.984174   11.539657   496.621480  14.062384
10             bert   518.652890   26.199694   287.862000  12.358595
11             gpt2   268.617088   15.699204   329.976306   7.393049
