model,test_mae,test_mape
alexnet,81.50736840655436,18.383275736070065
bert,2776.738497,99.97704334192031
densenet100_k12,76.4155710360677,14.481005620878653
densenet40_k12,23.092570946870115,17.33712624041954
googlenet,416.9773265558594,16.65572561685077
gpt2,3179.977723666667,99.98170986116013
inception3,899.3379805651042,16.13453649404381
resnet110,63.36430391373698,15.642048627056752
resnet44,44.251915308826504,15.949981848481443
resnet50,1044.3024962539062,15.751215273010686
resnet56,46.49950218431315,16.105768375641443
vgg16,1606.097207908854,13.967818408633368
