model,left_out_worker,left_out_comm_type,train_configs,test_mae,test_mape
alexnet,2,AR,"(W:4, AR), (W:8, AR), (W:2, PS), (W:4, PS), (W:8, PS)",2.6226301209472638,3.943858593542995
alexnet,2,PS,"(W:2, AR), (W:4, AR), (W:8, AR), (W:4, PS), (W:8, PS)",0.6020002412304706,0.7428537763194443
alexnet,4,AR,"(W:2, AR), (W:8, AR), (W:2, PS), (W:4, PS), (W:8, PS)",63.04995344648438,19.74761257326052
alexnet,4,PS,"(W:2, AR), (W:4, AR), (W:8, AR), (W:2, PS), (W:8, PS)",0.03900436972656962,0.017862502239773065
alexnet,8,AR,"(W:2, AR), (W:4, AR), (W:2, PS), (W:4, PS), (W:8, PS)",348.5628662179688,62.844460770538376
alexnet,8,PS,"(W:2, AR), (W:4, AR), (W:8, AR), (W:2, PS), (W:4, PS)",74.16775604296873,23.00300620051928
resnet110,2,AR,"(W:4, AR), (W:8, AR), (W:2, PS), (W:4, PS), (W:8, PS)",1.9762544416015686,1.8868757902515878
resnet110,2,PS,"(W:2, AR), (W:4, AR), (W:8, AR), (W:4, PS), (W:8, PS)",1.404649750585932,1.272766449642754
resnet110,4,AR,"(W:2, AR), (W:8, AR), (W:2, PS), (W:4, PS), (W:8, PS)",0.2532158050781277,0.10067274456623654
resnet110,4,PS,"(W:2, AR), (W:4, AR), (W:8, AR), (W:2, PS), (W:8, PS)",0.1298799648437523,0.05263187054640557
resnet110,8,AR,"(W:2, AR), (W:4, AR), (W:2, PS), (W:4, PS), (W:8, PS)",174.20684147343752,42.98310448076463
resnet110,8,PS,"(W:2, AR), (W:4, AR), (W:8, AR), (W:2, PS), (W:4, PS)",202.21498204687498,47.5562404265689
resnet44,2,AR,"(W:4, AR), (W:8, AR), (W:2, PS), (W:4, PS), (W:8, PS)",0.0740728377636728,0.12174395338071507
resnet44,2,PS,"(W:2, AR), (W:4, AR), (W:8, AR), (W:4, PS), (W:8, PS)",0.3865222893164031,0.4540809170371443
resnet44,4,AR,"(W:2, AR), (W:8, AR), (W:2, PS), (W:4, PS), (W:8, PS)",2.310891147656264,1.35983759701197
resnet44,4,PS,"(W:2, AR), (W:4, AR), (W:8, AR), (W:2, PS), (W:8, PS)",0.5236578487304655,0.4210546330170649
resnet44,8,AR,"(W:2, AR), (W:4, AR), (W:2, PS), (W:4, PS), (W:8, PS)",168.6929521748047,54.90654923365366
resnet44,8,PS,"(W:2, AR), (W:4, AR), (W:8, AR), (W:2, PS), (W:4, PS)",93.52339555468751,38.43662475678811
resnet56,2,AR,"(W:4, AR), (W:8, AR), (W:2, PS), (W:4, PS), (W:8, PS)",0.5313434607617182,1.1728738626637123
resnet56,2,PS,"(W:2, AR), (W:4, AR), (W:8, AR), (W:4, PS), (W:8, PS)",0.6005287447265601,0.5970337117660167
resnet56,4,AR,"(W:2, AR), (W:8, AR), (W:2, PS), (W:4, PS), (W:8, PS)",5.532100667773449,2.924343842228664
resnet56,4,PS,"(W:2, AR), (W:4, AR), (W:8, AR), (W:2, PS), (W:8, PS)",0.782249411328138,0.48309281029140044
resnet56,8,AR,"(W:2, AR), (W:4, AR), (W:2, PS), (W:4, PS), (W:8, PS)",157.10004423671876,49.99800045822494
resnet56,8,PS,"(W:2, AR), (W:4, AR), (W:8, AR), (W:2, PS), (W:4, PS)",114.45074658457031,41.459265568673906
densenet40_k12,2,AR,"(W:4, AR), (W:8, AR), (W:2, PS), (W:4, PS), (W:8, PS)",0.6466093022070325,2.8059840767452027
densenet40_k12,2,PS,"(W:2, AR), (W:4, AR), (W:8, AR), (W:4, PS), (W:8, PS)",0.010468486298826463,0.03776470934604026
densenet40_k12,4,AR,"(W:2, AR), (W:8, AR), (W:2, PS), (W:4, PS), (W:8, PS)",0.04666996271484436,0.07033330502729916
densenet40_k12,4,PS,"(W:2, AR), (W:4, AR), (W:8, AR), (W:2, PS), (W:8, PS)",0.05465507057617458,0.10957903499858308
densenet40_k12,8,AR,"(W:2, AR), (W:4, AR), (W:2, PS), (W:4, PS), (W:8, PS)",101.96743587416992,65.2421913549112
densenet40_k12,8,PS,"(W:2, AR), (W:4, AR), (W:8, AR), (W:2, PS), (W:4, PS)",35.82958698525391,35.756904961488935
googlenet,2,AR,"(W:4, AR), (W:8, AR), (W:2, PS), (W:4, PS), (W:8, PS)",14.043128044531272,2.18058233233271
googlenet,2,PS,"(W:2, AR), (W:4, AR), (W:8, AR), (W:4, PS), (W:8, PS)",5.454969446874998,0.6832516450302982
googlenet,4,AR,"(W:2, AR), (W:8, AR), (W:2, PS), (W:4, PS), (W:8, PS)",1.0418622421875625,0.07000448436580793
googlenet,4,PS,"(W:2, AR), (W:4, AR), (W:8, AR), (W:2, PS), (W:8, PS)",6.026348601562404,0.5557327745459887
googlenet,8,AR,"(W:2, AR), (W:4, AR), (W:2, PS), (W:4, PS), (W:8, PS)",1275.9395677578127,48.94695515382625
googlenet,8,PS,"(W:2, AR), (W:4, AR), (W:8, AR), (W:2, PS), (W:4, PS)",1199.3580832421876,47.49782731100357
densenet100_k12,2,AR,"(W:4, AR), (W:8, AR), (W:2, PS), (W:4, PS), (W:8, PS)",1.0812425601562552,0.7282189907837547
densenet100_k12,2,PS,"(W:2, AR), (W:4, AR), (W:8, AR), (W:4, PS), (W:8, PS)",0.49346352304687,0.2948958026543924
densenet100_k12,4,AR,"(W:2, AR), (W:8, AR), (W:2, PS), (W:4, PS), (W:8, PS)",0.22927282226561374,0.0751264041044043
densenet100_k12,4,PS,"(W:2, AR), (W:4, AR), (W:8, AR), (W:2, PS), (W:8, PS)",0.13298315859373133,0.040647571168962435
densenet100_k12,8,AR,"(W:2, AR), (W:4, AR), (W:2, PS), (W:4, PS), (W:8, PS)",168.5404844316406,35.348502134784816
