left_out_model,train_mae,train_mape,test_mae,test_mape
alexnet,653.8670654296875,29.154354333877563,102.0029067993164,31.42801821231842
resnet110,734.1514282226562,27.70872414112091,56.50538635253906,23.764078319072723
resnet44,769.7568969726562,29.206278920173645,64.83741760253906,38.90111744403839
resnet56,970.2125244140625,44.02005970478058,96.86295318603516,51.67542099952698
densenet40_k12,743.7354125976562,27.688565850257874,579.5960083007812,1488.4196281433105
googlenet,544.689453125,22.970162332057953,2070.451171875,150.7790446281433
densenet100_k12,549.3307495117188,32.03654885292053,146.7457275390625,52.76908874511719
vgg16,599.3093872070312,28.067821264266968,3881.498046875,61.69366240501404
resnet50,672.5440063476562,29.81211245059967,1974.73095703125,42.91065037250519
inception3,507.3052978515625,23.260773718357086,1604.138671875,41.06554090976715
bert,653.053955078125,21.498551964759827,839.8191528320312,23.09104949235916
gpt2,698.9603271484375,35.23492515087128,1663.7833251953125,50.11952519416809
AVERAGE,674.7430419921875,29.221573223670323,1090.080977121989,171.3847354054451
